Warnings with flags (1791):
  ext_enumerator_list_comma_cxx [-Wc++11-extensions]
  ext_enumerator_too_large [-Wmicrosoft-enum-value]
  ext_equals_this_lambda_capture_cxx20 [-Wc++20-extensions]
  ext_equivalent_internal_linkage_decl_in_modules [-Wmodules-ambiguous-internal-linkage]
  ext_excess_initializers [-Wexcess-initializers]
  ext_excess_initializers_for_sizeless_type [-Wexcess-initializers]
  ext_excess_initializers_in_char_array_initializer [-Wexcess-initializers]
  ext_explicit_bool [-Wc++20-extensions]
  ext_explicit_conversion_functions [-Wc++11-extensions]
  ext_explicit_instantiation_duplicate [-Wmicrosoft-template]
  ext_explicit_instantiation_without_qualified_id [-Wpedantic]
  ext_export_no_name_block [-Wexport-unnamed]
  ext_export_no_names [-Wexport-unnamed]
  ext_export_using_directive [-Wexport-using-directive]
  ext_expr_not_ice [-Wgnu-folding-constant]
  ext_extern_template [-Wc++11-extensions]
  ext_extra_semi [-Wextra-semi]
  ext_extra_semi_cxx11 [-Wc++11-extra-semi]
  ext_flexible_array_empty_aggregate_gnu [-Wgnu-empty-struct]
  ext_flexible_array_empty_aggregate_ms [-Wmicrosoft-flexible-array]
  ext_flexible_array_in_array [-Wflexible-array-extensions]
  ext_flexible_array_in_struct [-Wflexible-array-extensions]
  ext_flexible_array_init [-Wgnu-flexible-array-initializer]
  ext_flexible_array_union_gnu [-Wgnu-flexible-array-union-member]
  ext_flexible_array_union_ms [-Wmicrosoft-flexible-array]
  ext_fold_expression [-Wc++17-extensions]
  ext_for_range [-Wc++11-extensions]
  ext_for_range_begin_end_types_differ [-Wc++17-extensions]
  ext_for_range_init_stmt [-Wc++20-extensions]
  ext_forward_ref_enum [-Wpedantic]
  ext_forward_ref_enum_def [-Wgnu-redeclared-enum]
  ext_found_in_dependent_base [-Wmicrosoft-template]
  ext_found_later_in_class [-Wmicrosoft-template]
  ext_freestanding_complex [-Wpedantic]
  ext_friend_tag_redecl_outside_namespace [-Wmicrosoft-unqualified-friend]
  ext_generalized_initializer_lists [-Wc++11-extensions]
  ext_gnu_address_of_label [-Wgnu-label-as-value]
  ext_gnu_anonymous_struct [-Wgnu-anonymous-struct]
  ext_gnu_array_range [-Wgnu-designator]
  ext_gnu_case_range [-Wgnu-case-range]
  ext_gnu_conditional_expr [-Wgnu-conditional-omitted-operand]
  ext_gnu_empty_initializer [-Wgnu-empty-initializer]
  ext_gnu_indirect_goto [-Wgnu-label-as-value]
  ext_gnu_missing_equal_designator [-Wgnu-designator]
  ext_gnu_old_style_field_designator [-Wgnu-designator]
  ext_gnu_ptr_func_arith [-Wgnu-pointer-arith]
  ext_gnu_statement_expr [-Wgnu-statement-expression]
  ext_gnu_statement_expr_macro [-Wgnu-statement-expression-from-macro-expansion]
  ext_gnu_subscript_void_type [-Wgnu-pointer-arith]
  ext_gnu_void_ptr [-Wgnu-pointer-arith]
  ext_goto_into_protected_scope [-Wmicrosoft-goto]
  ext_hex_constant_invalid [-Wc99-extensions]
  ext_hex_literal_invalid [-Wc++17-extensions]
  ext_hlsl_access_specifiers [-Whlsl-extensions]
  ext_ident_list_in_param [-Wpedantic]
  ext_imaginary_constant [-Wgnu-imaginary-constant]
  ext_implicit_exception_spec_mismatch [-Wimplicit-exception-spec-mismatch]
  ext_implicit_function_decl_c99 [-Wimplicit-function-declaration]
  ext_implicit_lib_function_decl [-Wimplicit-function-declaration]
  ext_implicit_lib_function_decl_c99 [-Wimplicit-function-declaration]
  ext_implicit_typename [-Wc++20-extensions]
  ext_in_class_initializer_float_type [-Wgnu-static-float-init]
  ext_in_class_initializer_float_type_cxx11 [-Wstatic-float-init]
  ext_in_class_initializer_non_constant [-Wgnu-folding-constant]
  ext_incomplete_in_exception_spec [-Wmicrosoft-exception-spec]
  ext_increment_bool [-Wincrement-bool]
  ext_init_capture [-Wc++14-extensions]
  ext_init_capture_pack [-Wc++20-extensions]
  ext_init_list_constant_narrowing [-Wc++11-narrowing]
  ext_init_list_type_narrowing [-Wc++11-narrowing]
  ext_init_list_variable_narrowing [-Wc++11-narrowing]
  ext_init_statement [-Wc++17-extensions]
  ext_initializer_overrides [-Winitializer-overrides]
  ext_initializer_string_for_char_array_too_long [-Wexcess-initializers]
  ext_inline_namespace [-Wc++11-inline-namespace]
  ext_inline_nested_namespace_definition [-Wc++20-extensions]
